lead_time,avg_price_per_room,no_of_special_requests,booking_status
39,117.9,1,Not_Canceled
13,0,1,Not_Canceled
112,101.58,1,Not_Canceled
88,58.9,1,Not_Canceled
56,120,0,Not_Canceled
73,107.1,0,Canceled
80,126.9,1,Not_Canceled
130,139.5,2,Canceled
69,80.75,1,Not_Canceled
273,109,0,Canceled
55,104,0,Not_Canceled
4,65,1,Not_Canceled
97,140.4,0,Not_Canceled
44,75,0,Not_Canceled
31,94.5,0,Canceled
0,109,0,Not_Canceled
62,105,2,Not_Canceled
86,107.95,1,Not_Canceled
3,215.6,1,Not_Canceled
197,85.5,1,Not_Canceled
143,105.3,2,Not_Canceled
23,1,0,Not_Canceled
8,156,0,Canceled
13,73.15,1,Not_Canceled
280,110,0,Canceled
11,87.4,1,Not_Canceled
317,120,0,Canceled
185,79.2,0,Canceled
160,90.95,1,Not_Canceled
104,91.48,1,Not_Canceled
11,150,1,Canceled
2,89,0,Not_Canceled
14,91.43,1,Not_Canceled
22,140,0,Not_Canceled
37,87.78,0,Not_Canceled
292,115,0,Canceled
11,80.85,1,Not_Canceled
86,82.45,1,Not_Canceled
109,108,0,Canceled
72,96.3,1,Not_Canceled
196,99.45,0,Canceled
56,140.4,1,Not_Canceled
189,72.25,0,Not_Canceled
126,126,0,Not_Canceled
303,78,0,Canceled
81,146.6,1,Not_Canceled
54,118.8,0,Canceled
15,145,0,Canceled
86,84.58,0,Canceled
161,130,0,Canceled
147,118.88,1,Canceled
92,101.52,0,Not_Canceled
87,100,0,Canceled
109,58,0,Not_Canceled
127,61.5,2,Not_Canceled
418,107,0,Canceled
156,87.3,1,Not_Canceled
80,76.5,1,Canceled
211,63.75,0,Canceled
273,95,0,Canceled
58,75,1,Not_Canceled
433,70,0,Canceled
111,101.58,1,Not_Canceled
34,85,0,Not_Canceled
17,98.39,0,Not_Canceled
4,0,1,Not_Canceled
6,106.07,1,Not_Canceled
32,105,1,Not_Canceled
4,145,2,Not_Canceled
195,106.03,1,Canceled
119,114.3,1,Not_Canceled
13,88,0,Not_Canceled
59,89.25,2,Not_Canceled
78,86.32,1,Not_Canceled
335,90,1,Not_Canceled
103,55.96,0,Not_Canceled
0,109,1,Not_Canceled
118,86,0,Not_Canceled
56,118.95,0,Not_Canceled
107,130,1,Not_Canceled
70,90.56,1,Not_Canceled
76,87.3,1,Not_Canceled
144,177.65,1,Canceled
4,200.75,2,Not_Canceled
15,127,1,Not_Canceled
32,72.9,0,Canceled
49,159.3,0,Canceled
77,135.15,1,Not_Canceled
22,90,0,Not_Canceled
0,114,0,Not_Canceled
58,125.1,1,Not_Canceled
4,95.13,1,Not_Canceled
117,105.84,0,Canceled
36,102,0,Canceled
35,74.8,2,Not_Canceled
31,94.5,0,Canceled
79,120.6,0,Not_Canceled
1,139.33,0,Not_Canceled
21,105,0,Not_Canceled
12,100,1,Not_Canceled
33,80.3,1,Not_Canceled
164,100,0,Not_Canceled
78,105.3,1,Not_Canceled
18,112.8,0,Canceled
21,151,0,Canceled
0,91,1,Not_Canceled
152,146.7,1,Canceled
43,58.4,0,Not_Canceled
177,80.75,1,Canceled
47,76.5,0,Not_Canceled
57,140.13,0,Not_Canceled
60,76,1,Not_Canceled
0,200,0,Not_Canceled
102,101.5,0,Canceled
71,108,1,Not_Canceled
111,189,1,Not_Canceled
1,166,3,Not_Canceled
4,67.5,0,Not_Canceled
25,78.54,1,Not_Canceled
209,152.1,1,Canceled
93,115,0,Canceled
53,66.53,2,Not_Canceled
1,0,1,Not_Canceled
4,0,1,Not_Canceled
302,90.3,2,Canceled
122,85,0,Not_Canceled
16,75,0,Not_Canceled
28,115.37,1,Canceled
161,130,0,Canceled
57,126,2,Not_Canceled
19,94.35,1,Not_Canceled
109,118.46,4,Not_Canceled
239,90.6,0,Canceled
33,82.9,2,Not_Canceled
11,95.33,1,Not_Canceled
40,135.64,1,Not_Canceled
45,122.4,0,Not_Canceled
41,116.1,0,Canceled
167,62.18,0,Canceled
62,63.75,0,Canceled
113,118.8,0,Canceled
1,167,0,Not_Canceled
84,187.85,1,Not_Canceled
68,108.38,1,Canceled
9,0,1,Not_Canceled
245,128.7,0,Canceled
80,80.33,1,Not_Canceled
7,140,1,Canceled
128,76.5,2,Not_Canceled
100,105.3,1,Not_Canceled
118,87.3,1,Canceled
166,110,0,Canceled
41,83,0,Not_Canceled
174,99.45,1,Not_Canceled
27,104.5,3,Not_Canceled
2,92.54,2,Not_Canceled
37,95,0,Not_Canceled
188,130,0,Canceled
68,63,1,Not_Canceled
189,109.8,0,Canceled
10,103,0,Not_Canceled
19,130,1,Not_Canceled
61,117,0,Canceled
95,60.5,0,Not_Canceled
83,112.2,0,Not_Canceled
37,135.9,0,Canceled
19,151,1,Canceled
22,239,2,Not_Canceled
22,59.09,0,Not_Canceled
151,103.09,0,Canceled
26,87,0,Not_Canceled
27,137,0,Canceled
79,109,0,Not_Canceled
247,115,1,Canceled
189,99.45,1,Not_Canceled
320,115,1,Canceled
27,130,2,Not_Canceled
51,65,0,Not_Canceled
245,75,0,Canceled
52,132.9,0,Canceled
13,120,0,Not_Canceled
46,79.2,1,Canceled
84,159.3,0,Canceled
188,130,0,Canceled
19,90,0,Not_Canceled
67,140.4,1,Not_Canceled
0,75,0,Not_Canceled
273,109,0,Canceled
110,94.5,0,Canceled
0,75,0,Not_Canceled
32,75,1,Not_Canceled
282,76.67,0,Not_Canceled
38,126,0,Not_Canceled
175,85.5,1,Not_Canceled
143,140.7,0,Canceled
127,103.7,1,Not_Canceled
0,142,0,Not_Canceled
95,103.7,3,Not_Canceled
118,110,0,Not_Canceled
45,75,0,Not_Canceled
69,137.7,0,Not_Canceled
57,87.3,3,Not_Canceled
5,0,4,Not_Canceled
39,101.5,0,Not_Canceled
0,97,1,Not_Canceled
89,150.3,1,Not_Canceled
85,82.45,0,Not_Canceled
4,103,1,Not_Canceled
11,145,0,Canceled
12,145,1,Not_Canceled
77,134.85,1,Not_Canceled
14,168.25,1,Not_Canceled
1,60,0,Canceled
133,76,0,Not_Canceled
3,63.5,1,Not_Canceled
19,95,0,Not_Canceled
86,90.95,3,Not_Canceled
23,98.4,2,Not_Canceled
65,135.9,1,Not_Canceled
1,130,1,Not_Canceled
66,81.9,2,Not_Canceled
50,78.85,1,Not_Canceled
87,141.3,0,Canceled
159,70,1,Not_Canceled
39,170.1,2,Not_Canceled
386,115,1,Canceled
22,199,0,Not_Canceled
102,82.45,0,Not_Canceled
86,192.86,1,Not_Canceled
56,185,0,Not_Canceled
36,68.07,1,Not_Canceled
50,118.8,1,Not_Canceled
115,104.4,0,Canceled
0,65,0,Not_Canceled
35,71.1,0,Canceled
17,95,0,Not_Canceled
237,116.62,1,Canceled
125,136,2,Not_Canceled
32,147.9,0,Canceled
5,123.7,0,Not_Canceled
91,135.9,0,Canceled
102,109,0,Not_Canceled
9,186,1,Not_Canceled
155,115.6,1,Canceled
0,221,0,Canceled
11,65,0,Not_Canceled
0,80,0,Not_Canceled
86,73.83,0,Not_Canceled
18,67,0,Not_Canceled
58,80.3,1,Not_Canceled
54,85,0,Not_Canceled
25,152.1,1,Canceled
107,89.25,1,Not_Canceled
100,110,0,Not_Canceled
273,95,0,Canceled
29,79,0,Not_Canceled
221,80,0,Canceled
213,102.85,2,Canceled
198,90,0,Canceled
81,62.37,2,Not_Canceled
23,98,0,Not_Canceled
26,117.67,1,Canceled
20,141,1,Not_Canceled
124,156.61,2,Canceled
85,152.1,0,Canceled
167,105.3,0,Canceled
71,119.85,1,Not_Canceled
48,97.2,2,Not_Canceled
37,116.1,0,Not_Canceled
76,150.45,0,Canceled
13,71,0,Not_Canceled
3,0,0,Not_Canceled
75,60,0,Not_Canceled
5,89,1,Not_Canceled
386,115,1,Canceled
180,100,1,Not_Canceled
122,75.9,2,Canceled
224,65,0,Not_Canceled
24,104.55,2,Not_Canceled
162,115,0,Canceled
25,187,0,Canceled
1,115,0,Not_Canceled
236,84.43,1,Canceled
120,90.95,0,Canceled
12,208,1,Not_Canceled
224,97.18,1,Canceled
33,79.11,0,Not_Canceled
24,0,0,Not_Canceled
22,120,1,Not_Canceled
10,126,1,Not_Canceled
15,91,1,Canceled
230,137,0,Canceled
54,67.32,0,Not_Canceled
45,81.62,0,Not_Canceled
63,123.66,2,Not_Canceled
166,94.5,1,Not_Canceled
148,96.3,0,Canceled
136,88.01,1,Not_Canceled
37,81.9,2,Not_Canceled
66,119.85,1,Not_Canceled
11,83.5,0,Not_Canceled
1,67,1,Not_Canceled
7,156,1,Not_Canceled
43,85,0,Not_Canceled
5,126.75,0,Canceled
247,115,1,Canceled
24,107.1,1,Canceled
53,120,0,Not_Canceled
52,93.6,2,Not_Canceled
56,120,0,Not_Canceled
12,90,1,Not_Canceled
230,137,1,Canceled
92,106.43,1,Canceled
2,87.78,0,Not_Canceled
74,101.5,0,Not_Canceled
82,85.5,0,Canceled
37,95,0,Not_Canceled
147,103.7,2,Not_Canceled
2,65,0,Not_Canceled
166,100.12,0,Canceled
28,156.25,2,Not_Canceled
309,101,0,Canceled
54,161.1,0,Not_Canceled
49,83.8,2,Not_Canceled
1,168,2,Not_Canceled
0,58,0,Not_Canceled
4,94.5,0,Not_Canceled
60,96.3,1,Not_Canceled
157,76.5,1,Not_Canceled
268,78,0,Not_Canceled
38,112.59,0,Canceled
30,187.04,0,Canceled
2,169,2,Not_Canceled
217,46.63,1,Not_Canceled
143,100,0,Not_Canceled
179,85.5,2,Not_Canceled
188,130,0,Canceled
94,146.7,1,Not_Canceled
32,73,0,Not_Canceled
2,143.22,2,Not_Canceled
70,89.25,1,Not_Canceled
4,85,0,Not_Canceled
34,6.5,1,Not_Canceled
16,83.03,0,Canceled
24,91,0,Canceled
78,80.75,1,Not_Canceled
305,89,0,Canceled
37,105,0,Not_Canceled
98,109.81,0,Not_Canceled
14,70.88,0,Not_Canceled
44,83.6,2,Not_Canceled
1,60,0,Canceled
213,130,0,Canceled
5,95,1,Not_Canceled
55,104,0,Not_Canceled
139,62,1,Not_Canceled
44,95,0,Not_Canceled
18,145,1,Not_Canceled
0,95,0,Not_Canceled
192,95,0,Not_Canceled
152,80.75,0,Not_Canceled
42,142.2,2,Not_Canceled
209,128.7,1,Canceled
69,90.95,1,Not_Canceled
80,93.6,2,Not_Canceled
49,60,0,Not_Canceled
143,90,0,Not_Canceled
67,95.4,2,Not_Canceled
41,160,1,Canceled
154,104.1,2,Canceled
55,104,0,Not_Canceled
2,109,0,Not_Canceled
99,93.78,1,Canceled
14,95,0,Not_Canceled
0,140,0,Not_Canceled
22,87,1,Not_Canceled
7,85.85,1,Not_Canceled
84,99.45,0,Not_Canceled
109,120.28,1,Not_Canceled
71,120,0,Not_Canceled
4,77.77,1,Not_Canceled
71,120,0,Not_Canceled
58,116.1,1,Not_Canceled
133,189,0,Canceled
27,152.67,0,Canceled
27,66.31,1,Not_Canceled
9,95,2,Not_Canceled
86,122,0,Canceled
13,58,0,Not_Canceled
0,89.89,1,Not_Canceled
5,156,1,Not_Canceled
82,99.45,0,Not_Canceled
330,172.8,0,Canceled
3,98.56,1,Not_Canceled
35,71.1,0,Canceled
12,128.06,0,Canceled
0,0,0,Not_Canceled
7,106,1,Not_Canceled
47,130.61,1,Canceled
117,105.74,1,Not_Canceled
2,136,1,Not_Canceled
26,120,0,Not_Canceled
75,74.8,1,Not_Canceled
256,112,1,Canceled
137,121.5,2,Not_Canceled
92,70,0,Not_Canceled
1,75,0,Not_Canceled
18,54,0,Not_Canceled
78,100,0,Canceled
8,0,2,Not_Canceled
30,186.22,0,Canceled
117,79.2,0,Not_Canceled
10,103,0,Not_Canceled
56,185,0,Not_Canceled
8,135,1,Not_Canceled
386,115,1,Canceled
273,109,0,Canceled
33,104,1,Canceled
184,130.05,3,Not_Canceled
232,100.3,0,Canceled
188,130,0,Canceled
102,109,0,Not_Canceled
45,139.5,1,Canceled
1,66,1,Not_Canceled
63,106.88,2,Not_Canceled
89,149.4,1,Not_Canceled
63,109.35,2,Not_Canceled
304,89,0,Canceled
1,115,1,Not_Canceled
51,85.5,0,Not_Canceled
110,90.95,0,Not_Canceled
20,117.55,1,Not_Canceled
50,108,1,Canceled
48,139.5,1,Not_Canceled
96,129.88,0,Canceled
148,67,0,Not_Canceled
25,129,1,Canceled
148,79.53,0,Canceled
114,72.25,0,Not_Canceled
257,80,0,Not_Canceled
105,119.85,2,Not_Canceled
4,117,0,Not_Canceled
67,29,1,Not_Canceled
61,118.8,1,Not_Canceled
79,192.03,1,Not_Canceled
74,168.3,2,Not_Canceled
120,72.76,0,Not_Canceled
157,68,0,Not_Canceled
4,89,0,Not_Canceled
46,124.46,0,Not_Canceled
41,70.33,0,Not_Canceled
84,170.1,2,Not_Canceled
245,75,0,Canceled
27,125.25,1,Not_Canceled
74,55.9,0,Not_Canceled
85,126.9,0,Canceled
6,79,0,Canceled
256,94.35,2,Canceled
265,109,0,Canceled
64,112.2,0,Not_Canceled
0,109,1,Not_Canceled
91,65,0,Not_Canceled
127,90,0,Not_Canceled
73,85,0,Not_Canceled
36,168.73,0,Not_Canceled
17,100.38,0,Not_Canceled
164,99.45,0,Canceled
0,160,0,Not_Canceled
37,126,1,Not_Canceled
191,96.9,0,Not_Canceled
33,95,2,Not_Canceled
32,94.5,3,Not_Canceled
3,98.8,0,Not_Canceled
53,100.5,1,Not_Canceled
8,0,1,Not_Canceled
107,80.75,1,Canceled
55,104,0,Not_Canceled
84,89.75,0,Not_Canceled
0,156,1,Not_Canceled
1,136,2,Not_Canceled
29,85,1,Not_Canceled
41,87.54,1,Not_Canceled
86,100,0,Not_Canceled
167,108.9,1,Canceled
34,107.1,1,Not_Canceled
101,80,0,Canceled
259,90,0,Canceled
122,105.3,1,Not_Canceled
1,80,2,Not_Canceled
107,142.2,0,Not_Canceled
35,131.4,1,Not_Canceled
192,95,0,Not_Canceled
4,111,0,Canceled
85,85,1,Not_Canceled
137,130.95,0,Canceled
74,101.5,0,Not_Canceled
116,82,0,Not_Canceled
34,94.5,2,Not_Canceled
56,109.8,0,Canceled
149,72.25,0,Canceled
12,55.72,0,Not_Canceled
52,158.4,1,Canceled
191,69,0,Not_Canceled
37,105,0,Not_Canceled
57,219.6,0,Canceled
9,44.8,0,Not_Canceled
7,120,0,Not_Canceled
78,100,0,Canceled
0,109,0,Not_Canceled
78,115.68,1,Not_Canceled
31,75,0,Not_Canceled
37,134.1,1,Not_Canceled
8,124.1,1,Not_Canceled
32,214.75,1,Not_Canceled
48,75,0,Not_Canceled
89,72.25,2,Not_Canceled
0,80,0,Not_Canceled
15,139,1,Not_Canceled
10,66,0,Not_Canceled
43,115.5,0,Not_Canceled
27,195.5,2,Not_Canceled
386,115,1,Canceled
72,84,0,Not_Canceled
10,107.8,3,Not_Canceled
37,105,0,Not_Canceled
170,78,0,Not_Canceled
265,90,0,Not_Canceled
49,105.3,0,Canceled
51,80.3,1,Not_Canceled
3,129,1,Not_Canceled
265,115,1,Canceled
34,125.1,2,Not_Canceled
1,103,1,Not_Canceled
77,125.1,0,Not_Canceled
60,96.17,1,Canceled
56,185,0,Not_Canceled
0,69.74,0,Not_Canceled
136,172.55,0,Canceled
4,95,1,Not_Canceled
68,166.35,2,Not_Canceled
1,108,1,Not_Canceled
61,102,0,Not_Canceled
40,203.73,2,Not_Canceled
6,78.69,0,Canceled
58,79.2,0,Canceled
35,76.5,1,Not_Canceled
177,100,0,Canceled
13,88.4,1,Not_Canceled
245,110,0,Canceled
189,109.8,0,Canceled
271,78.3,0,Not_Canceled
257,101.5,0,Canceled
207,80.75,1,Not_Canceled
108,104,2,Not_Canceled
39,51.19,0,Not_Canceled
11,150,1,Canceled
177,127.8,1,Canceled
15,115,3,Not_Canceled
10,156,1,Not_Canceled
60,130.9,0,Canceled
21,116.1,0,Canceled
24,71.69,1,Not_Canceled
76,98.5,1,Not_Canceled
146,94.5,1,Not_Canceled
188,130,0,Canceled
114,76.5,0,Canceled
256,90.95,0,Canceled
210,72.75,0,Not_Canceled
16,93,0,Not_Canceled
64,168.3,1,Not_Canceled
105,75,0,Not_Canceled
0,105,0,Not_Canceled
37,78.5,1,Not_Canceled
54,119.7,0,Canceled
81,168.3,0,Canceled
2,197,1,Not_Canceled
61,91,0,Not_Canceled
11,85,0,Not_Canceled
4,81,0,Canceled
63,116,0,Not_Canceled
320,115,1,Canceled
3,106,2,Not_Canceled
62,118.8,0,Canceled
91,132.3,2,Canceled
123,146.7,0,Not_Canceled
13,86.8,1,Not_Canceled
152,98,0,Not_Canceled
180,100,1,Not_Canceled
222,158.95,0,Canceled
47,119.52,0,Not_Canceled
88,117,1,Not_Canceled
26,140.67,0,Canceled
17,94.95,1,Not_Canceled
104,109.65,0,Canceled
7,120,0,Not_Canceled
128,67.22,0,Not_Canceled
11,62,0,Not_Canceled
6,91,0,Not_Canceled
23,68,0,Not_Canceled
304,89,0,Canceled
4,94.5,0,Not_Canceled
25,187,1,Canceled
65,122.65,0,Not_Canceled
21,68,1,Not_Canceled
45,131.4,1,Canceled
25,149.4,0,Canceled
5,100,0,Not_Canceled
247,115,1,Canceled
6,160,2,Not_Canceled
25,127.67,2,Not_Canceled
52,79.2,2,Not_Canceled
18,69,2,Not_Canceled
296,117,1,Canceled
174,70,0,Canceled
31,114.3,2,Not_Canceled
166,110,0,Canceled
30,181.8,1,Not_Canceled
68,75.65,1,Canceled
194,77.23,2,Not_Canceled
145,65,0,Not_Canceled
292,115,0,Canceled
0,118.8,0,Canceled
24,127.48,1,Not_Canceled
124,114.3,0,Not_Canceled
44,87.2,0,Not_Canceled
257,101.5,0,Canceled
164,100,0,Not_Canceled
153,91.38,1,Not_Canceled
155,119.71,1,Canceled
0,119,0,Not_Canceled
29,139,1,Not_Canceled
59,109.8,1,Not_Canceled
91,65,0,Not_Canceled
76,131.4,0,Canceled
93,96.3,3,Not_Canceled
4,0,1,Not_Canceled
25,137,1,Not_Canceled
245,75,0,Canceled
74,92.65,0,Not_Canceled
275,62.8,0,Canceled
14,160,0,Canceled
265,90,0,Not_Canceled
122,81.26,2,Not_Canceled
158,114.75,1,Canceled
119,99.3,0,Not_Canceled
6,89,0,Not_Canceled
122,85,0,Canceled
60,75,0,Canceled
1,102.6,0,Not_Canceled
121,90.95,0,Not_Canceled
301,115,1,Canceled
349,78.3,0,Canceled
59,121.5,0,Canceled
71,120,0,Not_Canceled
200,105.4,1,Canceled
71,101.87,1,Not_Canceled
105,65,0,Not_Canceled
6,116,0,Not_Canceled
76,69.3,1,Not_Canceled
29,90.25,2,Not_Canceled
179,119.85,0,Canceled
81,76.5,2,Not_Canceled
35,109,2,Not_Canceled
60,126.9,1,Not_Canceled
34,65,0,Not_Canceled
0,86,0,Not_Canceled
5,139,1,Not_Canceled
48,109.8,1,Not_Canceled
54,132.6,0,Canceled
57,75.33,0,Not_Canceled
5,65,0,Not_Canceled
130,68,0,Not_Canceled
57,113.85,0,Not_Canceled
89,96.3,0,Not_Canceled
221,79.5,2,Canceled
1,40,1,Not_Canceled
116,76,0,Not_Canceled
139,90.95,0,Not_Canceled
55,104,0,Not_Canceled
247,109,0,Canceled
74,109,0,Not_Canceled
2,75,0,Not_Canceled
47,150.3,2,Not_Canceled
56,120,0,Not_Canceled
96,94.5,0,Not_Canceled
156,103.5,0,Canceled
166,110,0,Canceled
268,78,0,Canceled
32,85,0,Not_Canceled
0,0,0,Not_Canceled
107,130,1,Not_Canceled
159,187.85,0,Canceled
46,168.3,2,Not_Canceled
17,74.8,2,Not_Canceled
57,112.2,0,Canceled
1,106,1,Not_Canceled
159,134.46,2,Canceled
24,108,1,Not_Canceled
17,90.95,1,Not_Canceled
9,79,0,Canceled
111,168.3,3,Not_Canceled
74,101.5,0,Not_Canceled
56,82,0,Not_Canceled
5,110,1,Not_Canceled
3,106,3,Not_Canceled
194,102.25,1,Canceled
3,95,0,Not_Canceled
19,85.5,0,Not_Canceled
33,102.37,1,Not_Canceled
0,129,1,Not_Canceled
0,106,2,Not_Canceled
69,102.6,0,Not_Canceled
7,92.4,1,Not_Canceled
40,82.1,1,Not_Canceled
184,105.3,1,Canceled
73,135,1,Canceled
213,130,0,Canceled
79,76.5,0,Canceled
6,108,2,Not_Canceled
29,85,0,Not_Canceled
11,107,0,Not_Canceled
29,85,2,Not_Canceled
52,73.95,0,Canceled
30,88.4,0,Not_Canceled
1,67,1,Not_Canceled
16,76,0,Not_Canceled
48,81,0,Not_Canceled
315,160,0,Canceled
3,150,2,Not_Canceled
0,90,0,Not_Canceled
69,106,0,Not_Canceled
99,89.25,0,Canceled
73,94,1,Not_Canceled
181,120,0,Canceled
30,125.1,2,Not_Canceled
56,60,0,Not_Canceled
83,75,0,Not_Canceled
0,125.1,0,Not_Canceled
92,96.9,1,Not_Canceled
11,93.8,0,Not_Canceled
67,98.1,1,Canceled
25,64.64,0,Not_Canceled
32,105,1,Not_Canceled
286,90,0,Canceled
80,74.8,1,Not_Canceled
186,90.95,2,Canceled
263,59.5,0,Not_Canceled
103,94.5,0,Canceled
114,140.4,0,Canceled
245,110,0,Canceled
24,95,0,Not_Canceled
39,109,1,Not_Canceled
29,66,1,Not_Canceled
2,0,3,Not_Canceled
14,88.33,0,Canceled
37,105,0,Not_Canceled
273,95,0,Canceled
124,143.1,1,Canceled
104,114,1,Canceled
51,75.6,1,Not_Canceled
65,135.9,3,Not_Canceled
179,108.9,2,Canceled
4,70,0,Not_Canceled
80,93.6,0,Canceled
56,125.1,1,Not_Canceled
221,73,0,Not_Canceled
263,67,0,Not_Canceled
160,70,0,Not_Canceled
174,115.2,0,Canceled
19,75,0,Not_Canceled
63,116,0,Not_Canceled
0,81,0,Not_Canceled
5,92.4,1,Not_Canceled
0,69.84,0,Not_Canceled
86,87.5,0,Not_Canceled
38,55.59,0,Not_Canceled
38,101.83,1,Not_Canceled
176,125.1,0,Canceled
13,79,0,Not_Canceled
156,122.4,0,Not_Canceled
182,112.2,1,Canceled
11,113.34,1,Not_Canceled
28,126,0,Canceled
87,112.25,1,Not_Canceled
99,159.3,0,Canceled
13,85,0,Not_Canceled
18,146,1,Not_Canceled
6,75,0,Not_Canceled
162,115,0,Canceled
4,168.5,2,Not_Canceled
15,80,1,Canceled
23,159,2,Not_Canceled
7,156,1,Not_Canceled
40,6.67,1,Not_Canceled
102,80,0,Canceled
141,128.8,1,Not_Canceled
40,71.64,0,Not_Canceled
42,80.3,1,Not_Canceled
12,65,0,Not_Canceled
54,74.15,2,Not_Canceled
24,124,2,Not_Canceled
0,75,0,Canceled
0,168.3,2,Not_Canceled
59,85,0,Not_Canceled
33,67.5,1,Canceled
11,160,0,Not_Canceled
63,80.1,0,Canceled
56,75,0,Not_Canceled
36,126.9,2,Not_Canceled
93,115,0,Canceled
92,81.5,2,Not_Canceled
23,166,1,Not_Canceled
27,143.3,1,Not_Canceled
57,228.6,0,Canceled
8,107,0,Not_Canceled
5,130,1,Not_Canceled
13,96,1,Not_Canceled
55,91.51,1,Not_Canceled
12,90,2,Not_Canceled
418,107,0,Canceled
270,80,1,Not_Canceled
245,110,0,Canceled
69,114.9,1,Not_Canceled
150,90,1,Not_Canceled
105,75,0,Canceled
192,95,0,Not_Canceled
16,124,2,Not_Canceled
133,118.8,3,Not_Canceled
2,101,1,Not_Canceled
8,131,1,Not_Canceled
141,90,0,Not_Canceled
134,65,0,Not_Canceled
62,146.7,2,Not_Canceled
164,100,0,Not_Canceled
96,118.8,1,Not_Canceled
37,69.9,0,Canceled
38,85.5,0,Not_Canceled
2,169,3,Not_Canceled
43,126.9,1,Not_Canceled
38,85,0,Not_Canceled
9,114.5,2,Not_Canceled
